word,part_of_speech,meaning,example,meaning_original,original_meaning
ịkpọsọ́,n.,rubbish,,rubbish; bits of stick,rubbish
ịkpọsọ́,n.,bits of stick,,rubbish; bits of stick,bits of stick
ịkpọtọ́,n.,rotten stalk of the plantain,,rotten stalk of the plantain,rotten stalk of the plantain
ịkpụ́kụ,n.,a short and strong person,,a short and strong person,a short and strong person
ịkpụ́rụ̀,n.,buru ịkpụ́rụ̀ seed-yam,,(used with burú) buru ịkpụ́rụ̀ seed-yam,buru ịkpụ́rụ̀ seed-yam
ịmbẹ́lẹmọ²,n.,"shrub with white flowers, used as medicine for belly Pichon APOCYNACEAE)",,"shrub with white flowers, used as medicine for belly (Hedranthera barteri (Hook.f.) Pichon APOCYNACEAE) (=okotitákụ̀) [Do the 2 names refer to the same plant? Perhaps one to the flowers and the second to the fruit?]","shrub with white flowers, used as medicine for belly Pichon APOCYNACEAE)"
ịngbáya,n.,a stick leading to a main stake for,,a stick leading to a main stake for,a stick leading to a main stake for
ịngbẹ́lẹẹ̀,n.,"small, smallish",,"small, smallish (of head); tíḅ ị sẹ̀ ịngbẹ́lẹẹ̀ smallish head (<ingbéleè)","small, smallish"
ịngbẹ́lẹẹ̀,n.,tíḅ ị sẹ̀ ịngbẹ́lẹẹ̀ smallish head,,"small, smallish (of head); tíḅ ị sẹ̀ ịngbẹ́lẹẹ̀ smallish head (<ingbéleè)",tíḅ ị sẹ̀ ịngbẹ́lẹẹ̀ smallish head
ịmọlọ́ụ,n.,tongue,,tongue,tongue
ịmụ́,n.,new foliage of palm-wine raphia after the ribs have been removed,,new foliage of palm-wine raphia after the ribs have been removed,new foliage of palm-wine raphia after the ribs have been removed
ịmụ́mụ̀rụ́n,n.,water weed used for cooking soup with opúru,,water weed used for cooking soup with opúru (shrimps) [specimen?],water weed used for cooking soup with opúru
ịmụ́nụ,n.,catfish,,catfish (Clarias gallepinus CLARIIDAE); ịmụ́nụbaụ juvenile Clarias,catfish
ịmụ́nụbaụ,n.,juvenile Clarias,,catfish (Clarias gallepinus CLARIIDAE); ịmụ́nụbaụ juvenile Clarias,juvenile Clarias
ịmụ́nụmụnụ̀,n.,"middle folding leaves of oil- palm tree torn in shreds, and used as part of dressing for war- canoes, in shrines, or singly for tying",,"middle folding leaves of oil- palm tree (or the wine-palm tree) torn in shreds, and used as part of dressing for war- canoes, in shrines, or singly for tying","middle folding leaves of oil- palm tree torn in shreds, and used as part of dressing for war- canoes, in shrines, or singly for tying"
ịndaá¹,n.,shiny-nose,,shiny-nose; thread-fin (Polydactylus quadrifilis POLYNEMIDAE) ịndaá² int. but; then; because; why since; if,shiny-nose
ịndaá¹,n.,thread-fin ịndaá² int. but,,shiny-nose; thread-fin (Polydactylus quadrifilis POLYNEMIDAE) ịndaá² int. but; then; because; why since; if,thread-fin ịndaá² int. but
ịndaá¹,n.,then,,shiny-nose; thread-fin (Polydactylus quadrifilis POLYNEMIDAE) ịndaá² int. but; then; because; why since; if,then
ịndaá¹,n.,because,,shiny-nose; thread-fin (Polydactylus quadrifilis POLYNEMIDAE) ịndaá² int. but; then; because; why since; if,because
ịndaá¹,n.,why since,,shiny-nose; thread-fin (Polydactylus quadrifilis POLYNEMIDAE) ịndaá² int. but; then; because; why since; if,why since
ịndaá¹,n.,if,,shiny-nose; thread-fin (Polydactylus quadrifilis POLYNEMIDAE) ịndaá² int. but; then; because; why since; if,if
ịngá,n.,plaited rope for climbing oil-palms and coconut,(fig.) Arị kpọ́ pẹ̀lẹí ̣ ìṇ ga kị akị líị ̣ùwouyémi lit. I am also climbing a palm-tree with a weak rope (response e.g. to someone who wants to borrow),plaited rope for climbing oil-palms and coconut; ịngá osuo èbií have good luck in palm-cutting; ịngá osuo sèí have bad luck in palm-cutting,plaited rope for climbing oil-palms and coconut
ịngá,n.,osuo èbií have good luck in palm-cutting,(fig.) Arị kpọ́ pẹ̀lẹí ̣ ìṇ ga kị akị líị ̣ùwouyémi lit. I am also climbing a palm-tree with a weak rope (response e.g. to someone who wants to borrow),plaited rope for climbing oil-palms and coconut; ịngá osuo èbií have good luck in palm-cutting; ịngá osuo sèí have bad luck in palm-cutting,osuo èbií have good luck in palm-cutting
ịngá,n.,osuo sèí have bad luck in palm-cutting,(fig.) Arị kpọ́ pẹ̀lẹí ̣ ìṇ ga kị akị líị ̣ùwouyémi lit. I am also climbing a palm-tree with a weak rope (response e.g. to someone who wants to borrow),plaited rope for climbing oil-palms and coconut; ịngá osuo èbií have good luck in palm-cutting; ịngá osuo sèí have bad luck in palm-cutting,osuo sèí have bad luck in palm-cutting
ịnụụ́¹,n.,dark blue or blue-black cloth used for certain deities such as Benikúrukuru,,dark blue or blue-black cloth used for certain deities such as Benikúrukuru (Ku1ro1fi1ghá); navy blue shirting or calico,dark blue or blue-black cloth used for certain deities such as Benikúrukuru
ịnụụ́¹,n.,navy blue shirting or calico,,dark blue or blue-black cloth used for certain deities such as Benikúrukuru (Ku1ro1fi1ghá); navy blue shirting or calico,navy blue shirting or calico
ịnụụ́²,n.,insect,,"insect (of the tsetse-fly type, but smaller)",insect
ịpọọ́,n.,fish,,fish (Alestes leuciscus CHARACIDAE); beni bolóu ìp̣ ọ fish (Brycinus nurse CHARACIDAE),fish
ịpọọ́,n.,beni bolóu ìp̣ ọ fish,,fish (Alestes leuciscus CHARACIDAE); beni bolóu ìp̣ ọ fish (Brycinus nurse CHARACIDAE),beni bolóu ìp̣ ọ fish
ịsaán¹,n.,"sponge made of ụkpá rope, used in filtering palmwine",,"sponge made of ụkpá rope, used in filtering palmwine (cf. sapó)","sponge made of ụkpá rope, used in filtering palmwine"
ịsaán²,n.,pimple,,pimple,pimple
ịsábà,n.,"small protrusion or outgrowth on yams, usu. buru ịsábà",,"small protrusion or outgrowth on yams, usu. buru ịsábà","small protrusion or outgrowth on yams, usu. buru ịsábà"
ịsọ́nịsọ̀nịbáụ,n.,secret agent,,A. secret agent; spy; B. job needing thoroughness [sọní²̣ x 2 + baụ́ daughter ?],secret agent
ịsọ́nịsọ̀nịbáụ,n.,spy,,A. secret agent; spy; B. job needing thoroughness [sọní²̣ x 2 + baụ́ daughter ?],spy
ịsọ́nịsọ̀nịbáụ,n.,job needing thoroughness,,A. secret agent; spy; B. job needing thoroughness [sọní²̣ x 2 + baụ́ daughter ?],job needing thoroughness
ịsọ́sọ̀,n.,"bird, any sunbird",,"bird, any sunbird (NECTARINIDAE) (cf.. ịtíạ̀íṇ )","bird, any sunbird"
ịsọ́ụ,n.,"young creature or fruit, usu. in combinations",,"young creature or fruit, usu. in combinations; buru ịsọ́ụ small yams; eré ịsọụ young woman (with 2-3 children); obóri ịsọụ young goat","young creature or fruit, usu. in combinations"
ịsọ́ụ,n.,buru ịsọ́ụ small yams,,"young creature or fruit, usu. in combinations; buru ịsọ́ụ small yams; eré ịsọụ young woman (with 2-3 children); obóri ịsọụ young goat",buru ịsọ́ụ small yams
ịsọ́ụ,n.,eré ịsọụ young woman,,"young creature or fruit, usu. in combinations; buru ịsọ́ụ small yams; eré ịsọụ young woman (with 2-3 children); obóri ịsọụ young goat",eré ịsọụ young woman
ịsọ́ụ,n.,obóri ịsọụ young goat,,"young creature or fruit, usu. in combinations; buru ịsọ́ụ small yams; eré ịsọụ young woman (with 2-3 children); obóri ịsọụ young goat",obóri ịsọụ young goat
ịsọ́ụn,n.,usu. ivín ịsọụn palm-nut shell,,usu. ivín ịsọụn palm-nut shell(s),usu. ivín ịsọụn palm-nut shell
ịsụ́n³,n.,shrew,,shrew (Crocidura spp. SORICIDAE),shrew
ịtághaị,n.,rash on the human body,,rash on the human body; okírikà ịtaghaị temporary rash at the base of the hair on the body as a result of cold [?goose pimples]; omóun ìṭaghaị heat rash resulting from sweat,rash on the human body
ịtághaị,n.,okírikà ịtaghaị temporary rash at the base of the hair on the body as a result of cold,,rash on the human body; okírikà ịtaghaị temporary rash at the base of the hair on the body as a result of cold [?goose pimples]; omóun ìṭaghaị heat rash resulting from sweat,okírikà ịtaghaị temporary rash at the base of the hair on the body as a result of cold
ịtághaị,n.,omóun ìṭaghaị heat rash resulting from sweat,,rash on the human body; okírikà ịtaghaị temporary rash at the base of the hair on the body as a result of cold [?goose pimples]; omóun ìṭaghaị heat rash resulting from sweat,omóun ìṭaghaị heat rash resulting from sweat
ịtánị,n.,leaves of young palm tree,,leaves of young palm tree,leaves of young palm tree
ịtátaịn,n.,something which hangs about in flakes or patches,,something which hangs about in flakes or patches (usu. specified as below); bou ịtátàịn moss (Taxithelium rotundatulum (C. Müll.) Broth.); éri ịtataịn soot; wárị ìṭataịn dirt hanging from eaves,something which hangs about in flakes or patches
ịtátaịn,n.,bou ịtátàịn moss (Taxithelium rotundatulum (,,something which hangs about in flakes or patches (usu. specified as below); bou ịtátàịn moss (Taxithelium rotundatulum (C. Müll.) Broth.); éri ịtataịn soot; wárị ìṭataịn dirt hanging from eaves,bou ịtátàịn moss (Taxithelium rotundatulum (
ịtátaịn,n.,Müll.) Broth.),,something which hangs about in flakes or patches (usu. specified as below); bou ịtátàịn moss (Taxithelium rotundatulum (C. Müll.) Broth.); éri ịtataịn soot; wárị ìṭataịn dirt hanging from eaves,Müll.) Broth.)
ịtátaịn,n.,éri ịtataịn soot,,something which hangs about in flakes or patches (usu. specified as below); bou ịtátàịn moss (Taxithelium rotundatulum (C. Müll.) Broth.); éri ịtataịn soot; wárị ìṭataịn dirt hanging from eaves,éri ịtataịn soot
ịtátaịn,n.,wárị ìṭataịn dirt hanging from eaves,,something which hangs about in flakes or patches (usu. specified as below); bou ịtátàịn moss (Taxithelium rotundatulum (C. Müll.) Broth.); éri ịtataịn soot; wárị ìṭataịn dirt hanging from eaves,wárị ìṭataịn dirt hanging from eaves
ịtọ́bọị,n.,young palm tree which has not yet developed any sort of stem,,young palm tree which has not yet developed any sort of stem (cf. asará); ịtọ́bọị pomu young palm-leaf ịtọ́ịn see ịtọ́nghị (=ịtọ́ngị),young palm tree which has not yet developed any sort of stem
ịtọ́bọị,n.,pomu young palm-leaf ịtọ́ịn see ịtọ́nghị,,young palm tree which has not yet developed any sort of stem (cf. asará); ịtọ́bọị pomu young palm-leaf ịtọ́ịn see ịtọ́nghị (=ịtọ́ngị),pomu young palm-leaf ịtọ́ịn see ịtọ́nghị
ịvịá,n.,"a sacred broom prepared with the leaves of a salt water herb, used by women diviners as one of their emblems",,"a sacred broom prepared with the leaves of a salt water herb, used by women diviners as one of their emblems","a sacred broom prepared with the leaves of a salt water herb, used by women diviners as one of their emblems"
ịwọ́rọ̀,n.,"very ripe or over-ripe palm nuts which fall off from the main bunch before and during harvesting, formerly left on the ground for women to collect",,"very ripe or over-ripe palm nuts which fall off from the main bunch before and during harvesting, formerly left on the ground for women to collect","very ripe or over-ripe palm nuts which fall off from the main bunch before and during harvesting, formerly left on the ground for women to collect"
ịyaforó,n.,my mother-in-law,,(used in address) my mother-in-law (cf. fúo),my mother-in-law
ịyáforó,n.,your mother-in- law,,(used in address) your mother-in- law (cf. fúo) [tone?],your mother-in- law
ịyányan,n.,tree Hutch. and Dandy and/or Parkia bicolor,,"tree (Cathormion altissimum (Hook.f.) Hutch. and Dandy and/or Parkia bicolor A.Chev., both LEGUMINOSAE- MIMOSOIDEAE)",tree Hutch. and Dandy and/or Parkia bicolor
ịyányan,n.,"Chev., both LEGUMINOSAE- MIMOSOIDEAE)",,"tree (Cathormion altissimum (Hook.f.) Hutch. and Dandy and/or Parkia bicolor A.Chev., both LEGUMINOSAE- MIMOSOIDEAE)","Chev., both LEGUMINOSAE- MIMOSOIDEAE)"
ịyọ́ọ,n.,place,Ọ mu ni ịyọ́bọọ̀ kpeimí They went and gathered at the place. (=yọ́ọ),place,place
ịyọ́rọ,n.,female,,female,female
ịyọ́ụn²,n.,burn,wo bará ìỵọụnbị the burn on his arm,(=ịyọ́ụ) burn; scald,burn
ịyọ́ụn²,n.,scald,wo bará ìỵọụnbị the burn on his arm,(=ịyọ́ụ) burn; scald,scald
ịyọ́ụn³,n.,heart-beat,,heart-beat; last breath; satisfaction of need or desire; ịyọ́ụn baa satisfy one’s need or desire; ịyọ́ụn pẹlẹ breathe one’s last; give up the ghost,heart-beat
ịyọ́ụn³,n.,last breath,,heart-beat; last breath; satisfaction of need or desire; ịyọ́ụn baa satisfy one’s need or desire; ịyọ́ụn pẹlẹ breathe one’s last; give up the ghost,last breath
ịyọ́ụn³,n.,satisfaction of need or desire,,heart-beat; last breath; satisfaction of need or desire; ịyọ́ụn baa satisfy one’s need or desire; ịyọ́ụn pẹlẹ breathe one’s last; give up the ghost,satisfaction of need or desire
ịyọ́ụn³,n.,ịyọ́ụn baa satisfy one’s need or desire,,heart-beat; last breath; satisfaction of need or desire; ịyọ́ụn baa satisfy one’s need or desire; ịyọ́ụn pẹlẹ breathe one’s last; give up the ghost,ịyọ́ụn baa satisfy one’s need or desire
ịyọ́ụn³,n.,ịyọ́ụn pẹlẹ breathe one’s last,,heart-beat; last breath; satisfaction of need or desire; ịyọ́ụn baa satisfy one’s need or desire; ịyọ́ụn pẹlẹ breathe one’s last; give up the ghost,ịyọ́ụn pẹlẹ breathe one’s last
ịyọ́ụn³,n.,give up the ghost,,heart-beat; last breath; satisfaction of need or desire; ịyọ́ụn baa satisfy one’s need or desire; ịyọ́ụn pẹlẹ breathe one’s last; give up the ghost,give up the ghost
ịyọ́ụn-pẹlẹ-ukurizi,n.,cannon fired to announce the death of a mature person,,cannon fired to announce the death of a mature person,cannon fired to announce the death of a mature person
ịzagbá,n.,cane,,cane; whip; ferule; famụ-ịzágbà punishment; fine,cane
ịzagbá,n.,whip,,cane; whip; ferule; famụ-ịzágbà punishment; fine,whip
ịzagbá,n.,ferule,,cane; whip; ferule; famụ-ịzágbà punishment; fine,ferule
ịzagbá,n.,famụ-ịzágbà punishment,,cane; whip; ferule; famụ-ịzágbà punishment; fine,famụ-ịzágbà punishment
ịzagbá,n.,fine,,cane; whip; ferule; famụ-ịzágbà punishment; fine,fine
ịzáị-ìngbe,n.,"chancre, the first sore of yaws",,"chancre, the first sore of yaws","chancre, the first sore of yaws"
ịzụ́ụ,n.,"plantain variety that takes the longest time to mature and produces the largest bunch so far known in Kólokùmá, the same shape as okpoisaán and ikpíri",,"plantain variety that takes the longest time to mature and produces the largest bunch so far known in Kólokùmá, the same shape as okpoisaán (smallest size) and ikpíri (medium size)","plantain variety that takes the longest time to mature and produces the largest bunch so far known in Kólokùmá, the same shape as okpoisaán and ikpíri"
